Name,h2,h3,h4,h5,h6,url
"Moved Permanently,,Dr. Rajesh Bhargave,","Summary,Publications","Contact,Location,Summary,Journals,Links",No data,No data,No data,", https://wwwf.imperial.ac.uk/business-school/research/management/people/, http://www.imperial.ac.uk/people/r.bhargave"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Professor Isao Sakaida,Mr Sivaguru Salakianathan,Dr Justin Salciccioli,Dr Azeem Saleem,Professor Hesham Saleh,Dr Ali Salehi-Reyhani,Dr Safa Salim,Dr Amit Samani,Mr Amandeep Singh Sandhu,Mr Guri Sandhu,Miss Maria Sani,Dr Ainkaran Santhirasekaram,Mr Alvise Saracco,Mrs Joanne Sarao,Dr Mohammad N Sarwar,Mr Sutharsan Satkunarajah,Dr Brian P Saunders,Dr Georgina Sava,Professor Amulya Saxena,Dr Anwar Abdulfattah A Sayed,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=52"
"Moved Permanently,,Dr Namrata Malhotra,,Moved Permanently,Moved Permanently","Summary,Publications","Contact,Location,Summary,Journals,Links",No data,No data,No data,", https://wwwf.imperial.ac.uk/business-school/author/nmalhotra/, http://www.imperial.ac.uk/people/n.malhotra, http://www.sbs.ox.ac.uk/community/people/namrata-malhotra, https://wwwf.imperial.ac.uk/business-school/research/management/people/"
Moved Permanently,"Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Cited by,View all,Co-authors",No data,No data,No data,", https://wwwf.imperial.ac.uk/business-school/research/finance/people/, https://scholar.google.co.in/citations?user=9zB2ZbgAAAAJ&hl=enhttps://www.harjoatbhamra.com/cv"
"Moved Permanently,Moved Permanently,Moved Permanently",No data,No data,No data,No data,No data,", https://wwwf.imperial.ac.uk/business-school/research/finance/new-faculty/, https://wwwf.imperial.ac.uk/business-school/research/finance/people/, http://www.poverty-action.org/people/rajkamal-iyer"
"Moved Permanently,,Dr. Sankalp Chaturvedi,","Summary,Publications,Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Contact,Location,Summary,Journals,Affiliations,Links,Cited by,View all,Co-authors,View all",No data,No data,No data,", https://wwwf.imperial.ac.uk/business-school/research/management/people/, http://www.imperial.ac.uk/people/sankalp.chaturvedi, https://scholar.google.com/citations?user=vzIhTsAAAAAJ&hl=en"
Object Moved,No data,No data,No data,No data,No data,", http://www.imperial.ac.uk/department-of-medicine/people-a-z/?instanceid=%2fmedicine%2fdepartment-of-medicine%2fkey-individuals%2f&pplist-action=people.html&page=42, http://www.imperial.ac.uk/people/k.krasta"
"A-Z people,Contact & Links","Imperial,Alert,Main Navigation,School of Public Health,About us,@ImperialSPH,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr Ruth E Collins,Dr Benjamin S Collyer,Mr Richard A Colquhoun,Dr Lesong Conteh,Mr Richard Cooley,Miss Emily Cooper,Ms Laura V Cooper,Dr Anne Cori,Dr Victoria R Cornelius,Ms Sophie Coronini-Cronberg,Ms Katrina B Cosby,Dr Ceire E Costelloe,Dr Samantha Coster,Ms Ziva Cotic,Dr Charles Coughlan,Dr Frances M Cowan,Dr Thomas E Cowling,Dr David G Cox,Ms Helen Crabbe,Ms Caroline E Crandell,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/people/n.dhanani, http://www.imperial.ac.uk/school-public-health/about-us/a-z-people/?instanceid=%2fmedicine%2fpublichealth%2faboutus%2fazpeople&pplist-action=people.html&page=16"
Object Moved,No data,No data,No data,No data,No data,", http://www.imperial.ac.uk/department-of-medicine/people-a-z/?instanceid=%2fmedicine%2fdepartment-of-medicine%2fkey-individuals%2f&pplist-action=people.html&page=95"
"Object Moved,Found,Found","IJCP PUBLICATIONS,eMediNexus,MEDtalks,Red Comet Films,Talking Point Communications,HOW WE HELP YOU,OUR LEADERSHIP,Our Editorial Faculty,OUR CLIENTS,Our Affiliations,Get in Touch",Contact Info,"Delhi :,IJCP Group,Mumbai :,IJCP Group,Others :,IJCP Group",No data,No data,", http://www.imperial.ac.uk/department-of-medicine/people-a-z/?instanceid=%2fmedicine%2fdepartment-of-medicine%2fkey-individuals%2f&pplist-action=people.html&page=150, http://ijcpgroup.com/?editorial=dr-a-ramachandrans, http://www.ardiabetes.org/, http://www.ardiabetes.org/Directors.html"
"Research Students,Contact & Links","Imperial,Alert,Main Navigation,Department of Mathematics,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Mr Lambert H B A'Campo,Mr Niraj Agarwal,Mr Alexander N Alecio,Mr John Alexander,Ms Alaa M Aljahili,Mr Henry G Alston,Mr Tarik Altuncu,Mr Ben S Ashby,Mr Henry Ashton,Mr Maximilian Autenrieth,Mr Federico Barbacovi,Mr Matt Barker,Mr Clovis V J Basier,Mr Claudio Bellani,Mr Stefanos Bennett,Mrs Tresnia Berah,Mr Aythami Bethencourt de Leon,Mr Mikolaj Binkowski,Mr Miguel D Boland,Mr Federico Bongiorno,Mr Marius P S Bothe,Miss Esther Bou Dagher,Mr Nacime F Bouziani,Mr Anthony I F Bowman,Mr Rodolfo Brandao Macena Lira,Address,Mathematics sections enquiries,Student enquiries,Maths Centres for Doctoral Training enquiries,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location,Personal details,Location",No data,No data,", http://www.imperial.ac.uk/mathematics/about-us/people/research-students/, http://imperial.academia.edu/RishiNalinKumar"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Professor Nicola Valeri,Dr Natalie Vallant,Ms Jackie van Dael,Dr Catherine Van Der Straeten MD, PhD,Dr Isabelle V Van Herzeele,Mr Felice Vanacore,Ms Margaret Vance,Dr Konstantinos Vanezis,Miss Alexandra Vangelatos,Dr Anabel Varela Carver,Dr Jenni Vasara,Dr Daniel Vasconcelos,Dr Vessela Vassileva,Mr Rahul Velineni BSc MBBS MRCSEd,Miss Aneesha R Verma,Dr Dennis Veselkov,Dr Kirill A Veselkov,Dr Alberto Vidal-Diez,Professor Charles A Vincent,Dr Mathew K Vithayathil,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=61"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr Glenn Arnold,Dr Kavleen K Arora,Dr Sonal Arora,Dr Peter B Arrigoni,Dr Meena Arunakirinathan,Mr Shobhit Arya,Mr Hutan Ashrafian,Dr Mohammed Aslam,Professor Thanos Athanasiou,Dr Edouard J B Auvinet,Dr Michalakis Averkiou,Dr James P Avery,Mr Zaid Awad,Mr Christopher Aylwin,Dr Omer Aziz,Mr Adarsh Babber,Mr Philip D Badman,Mrs Sara Badvie,Dr Sekina Bakare,Dr Kirsty A Balachandran,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=5"
"A-Z People,Contact & Links,Kapil Sahnan,,,@,,,,Kapil Sahnan,,,,@,,,@,@,Kapil Sahnan,@,Sheraz Markar,@,Kapil Sahnan,@,Apoorva Mandavilli,@,Olivia Swann,@,@ACPGBI,@,@,@,@,@,@,@,@,Deena Harji,@,@,@,@,@,@,@,@,Kat Baker,(née Gash),@,@,@,@,@,@,@,@,Rebecca Fish,@,@,@,@,@,@,@,@,Aneel Bhangu,@,@,@,@,@,@,@,@,Lyndsay Pearce,@,@ACPGBI,@,Reza Mirnezami,@,Mohammed Deputy,@,The Dukes' Club,@,NELA,@,Mohammed Deputy,@,The Dukes' Club,@,Dr Tony Goldstone,@,@,@,@,@,@,@,@,The BMA,@,@,@,@,@,@,@,@,Dr David Wrigley,@,@,@,@,@,@,@,@,Chaand Nagpaul,@,@,@,@,@,@,@,@,Partha S Kar,,,@,@,@,@,@,@,@,@,Prof Kailash Chand OBE FRCGP,@,@,@,@,@,@,@,@,Vishal Sharma,@,@,@,@,@,@,@,@,Helena McKeown,@,@,@,@,@,@,@,@,Matt Hancock,@,@,@,@,@,@,@,@,NHS Million,@,@,@,@,@,@,@,@,Dr Samantha Batt-Rawden,@,Mangetoo,@,Mangetoo,@,Kapil Sahnan,@,Rujuta Roplekar Bance,@,Kapil Sahnan,@,Rex Chapman,@,Cali Dreaming NaphiSoc,The Dukes' Club,@,,","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information,,,@,KSahnan,,,Tweets,You blocked,@,KSahnan,Loading seems to be taking a while.,Tweet with a location,Not on Twitter? Sign up, tune into the things you care about, and get updates as they happen.","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Miss Celia Theodoreli Riga,Dr Paul T R Thiruchelvam,Professor Gerry Thomas,Dr Gregory Thomas,Professor Huw J Thomas,Mr Rhidian Thomas,Mr Robert H Thomas,Professor Alastair Thompson,Dr Alexander J Thompson,Ms Didi Thompson,Miss Sarah Thompson,Ms Ruth Thomsen,Mrs Jayne Thorpe,Miss Davina Tijani,Mr Terry Tin,Ms Jessica N B Tingle,Miss May To,Mr Masanori Tokunaga,Mr Neil Tolley,Miss Tania A Toma,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information,Saved searches,Kapil Sahnan followed,Want to take advantage of all the new Twitter features?,You may also like,false,Choose a trend location,Go to a person's profile,Saved searches,Promote this Tweet,Block,Your lists,Create a new list,Copy link to Tweet,Embed this Tweet,Embed this Video,Preview,Why you're seeing this ad,Log in to Twitter,Sign up for Twitter,Two-way (sending and receiving) short codes:,Confirmation,,,Welcome home!,,Tweets not working for you?,,Say a lot with a little,,Spread the word,,Join the conversation,,Learn the latest,,Get more of what you love,,Find what's happening,,Never miss a Moment","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=59, https://twitter.com/ksahnan?lang=en"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Professor Jonathan Waxman,Professor Bob Wears MD, MS, PhD,Mr Lee C Webber,Ms Sophie I S Wedekind,Dr Jonathan G J Wei,Miss Sharon Marie Weldon,Dr Mary Wells,Mr Georg Wengert,Ms Carly Wheeler,Ms Ana C Wheelock Zalaquett,Dr Luke G Whiley,Mrs Benita White,Dr John P M White,Mr Roger White,Dr Julie Whitney,Mrs Chiharu Wickremesinghe,Mr Tom Wiggins,Dr Anatole V Wiik,Miss Aimee Rosina Olive Wilkinson,Professor Ronald A Williamon,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=63"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Mr Cedric Maillot,Professor Kath Maitland,Dr Anna Maria Malagoni,Dr Surbhi Malhotra,Mr Georgios Malietzis,Dr Rachita Mallya,Dr Ripple Man,Dr Kavina Manalan,Dr Stefania Manetti,Mrs Raleigh A Mangsat,Dr Victoria L Manning,Emeritus Professor Averil O Mansfield CBE,Mr Stephen W Marchington,Mr Hani J Marcus,Dr Nandor Marczin,Dr Luc G P Marechal,Dr Sheraz R Markar,Miss Ola Markiewicz,Mr Alex Marsh,Mrs Laura Marshall,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=37"
